"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","ramen","rice","pho","tea","club","dim","burger","korean","essen","thai","noodles","chicken","happy","sushi","bowl"
"2","chicken","chicken","vegas","milk","vegas","sum","fries","meat","gut","chicken","soup","chinese","menu","roll","chicken"
"3","pork","fried","menu","boba","night","chinese","burgers","bbq","mal","curry","noodle","rice","hour","rolls","sauce"
"4","menu","dishes","ordered","drink","tao","duck","pork","vegas","dass","pad","beef","fried","server","buffet","rice"
"5","delicious","ordered","amazing","drinks","line","shrimp","mi","delicious","immer","spicy","dumplings","ordered","ordered","fresh","fresh"
"6","small","price","dish","ice","floor","dishes","sandwich","tacos","gibt","rice","pork","egg","table","eat","location"
"7","belly","pretty","dinner","bubble","drinks","pork","banh","rice","lecker","ordered","spicy","lunch","bar","lunch","teriyaki"
"8","buns","sauce","delicious","sweet","music","table","oxtail","ordered","bedienung","dishes","hot","soup","night","tuna","veggies"
"9","wings","soup","meal","green","dance","steamed","cheese","pork","schon","dish","chinese","beef","drinks","salmon","eat"
"10","sauce","beef","dishes","taste","room","fried","ordered","mexican","mehr","delicious","broth","shrimp","experience","quality","meat"
"11","bar","menu","sauce","mango","table","dumplings","delicious","bulgogi","wirklich","noodles","pot","sauce","wait","price","staff"
"12","cheese","table","lobster","pretty","girls","pretty","chili","beef","freundlich","sauce","dishes","sour","beer","fish","sauces"
"13","fried","dish","experience","ordered","pretty","items","bachi","spicy","ambiente","lunch","ordered","hot","atmosphere","sashimi","meal"
"14","amazing","flavour","beef","sugar","fun","carts","belly","side","leider","asian","dish","delivery","waitress","pretty","friendly"
"15","salad","bit","dessert","places","free","bbq","wait","amazing","buffet","menu","authentic","eat","drink","dinner","spicy"
"16","made","toronto","vietnamese","taro","friends","mai","sweet","fusion","wurde","friendly","menu","friendly","minutes","tempura","clean"
"17","dish","congee","shrimp","teas","crowded","places","bao","friendly","tisch","fried","sauce","orange","location","japanese","burrito"
"18","breakfast","5","night","dessert","packed","wait","dog","chicken","frisch","soup","delicious","sweet","dinner","crab","fast"
"19","flavor","style","server","taiwanese","group","quality","kimchi","fried","gerichte","spice","pretty","fast","house","selection","lunch"
"20","egg","fish","excellent","jelly","long","fresh","amazing","dishes","preis","spring","meat","rolls","waiter","ayce","give"
"21","bit","cheap","rolls","tapioca","guys","buns","truffle","hawaiian","beim","shrimp","tofu","menu","pretty","staff","panda"
"22","sweet","2","rice","menu","wait","peking","beef","awesome","sushi","vegetarian","fried","chow","staff","bad","healthy"
"23","ordered","lunch","table","friendly","experience","tea","sandwiches","menu","speisen","tofu","made","bad","asked","bar","shabu"
"24","crispy","busy","fish","desserts","bar","dinner","vegas","recommend","einfach","hakka","eat","delicious","friends","friendly","customer"
"25","japanese","special","made","friends","bottle","price","meat","taco","gemüse","amazing","taste","fresh","manager","spicy","line"
"26","friendly","dinner","waiter","location","drink","restaurants","egg","eat","super","taste","fish","pretty","seated","salad","pretty"
"27","taste","favourite","special","staff","cool","3","sauce","kimchi","ganz","salad","bit","portions","meal","menu","noodles"
"28","chef","meat","dining","fresh","party","cart","taste","2","auswahl","sweet","table","give","selection","variety","quick"
"29","side","decent","duck","flavor","area","bad","bun","flavor","schnell","beef","bowl","years","busy","items","bowls"
"30","filipino","taste","asian","lot","crowd","dimsum","hot","price","küche","rolls","lamb","family","bad","shrimp","pei"
